Date,Open,High,Low,Close,Adj Close,Volume,7_day_moving_avg
2024-09-05,221.6300048828125,225.47999572753903,221.5200042724609,222.3800048828125,222.3800048828125,36615400,
2024-09-06,223.9499969482422,225.2400054931641,219.7700042724609,220.82000732421875,220.82000732421875,48423000,
2024-09-09,220.82000732421875,221.2700042724609,216.7100067138672,220.91000366210935,220.91000366210935,67180000,
2024-09-10,218.9199981689453,221.47999572753903,216.72999572753903,220.1100006103516,220.1100006103516,51591000,
2024-09-11,221.4600067138672,223.08999633789065,217.88999938964844,222.66000366210935,222.66000366210935,44587100,
2024-09-12,222.5,223.5500030517578,219.82000732421875,222.7700042724609,222.7700042724609,37498200,
2024-09-13,223.5800018310547,224.0399932861328,221.91000366210935,222.5,222.5,36766600,221.7357177734375
2024-09-16,216.5399932861328,217.22000122070312,213.9199981689453,216.32000732421875,216.32000732421875,59357400,220.87000383649553
2024-09-17,215.75,216.8999938964844,214.5,216.7899932861328,216.7899932861328,45519300,220.2942875453404
2024-09-18,217.5500030517578,222.7100067138672,217.5399932861328,220.69000244140625,220.69000244140625,59894900,220.26285879952567
2024-09-19,224.9900054931641,229.82000732421875,224.6300048828125,228.8699951171875,228.8699951171875,66781300,221.5142865862165
2024-09-20,229.97000122070312,233.08999633789065,227.6199951171875,228.1999969482422,228.1999969482422,318679900,222.3057141985212
2024-09-23,227.33999633789065,229.4499969482422,225.80999755859372,226.47000122070312,226.47000122070312,54146000,222.83428519112724
2024-09-24,228.6499938964844,229.3500061035156,225.72999572753903,227.3699951171875,227.3699951171875,43556100,223.52999877929688
2024-09-25,224.92999267578125,227.2899932861328,224.0200042724609,226.3699951171875,226.3699951171875,42308700,224.96571132114954
2024-09-26,227.3000030517578,228.5,225.41000366210935,227.5200042724609,227.5200042724609,36636700,226.49857003348214
2024-09-27,228.4600067138672,229.5200042724609,227.3000030517578,227.7899932861328,227.7899932861328,34026000,227.51285443987166
2024-09-30,230.0399932861328,233.0,229.6499938964844,233.0,233.0,54541900,228.1028551374163
2024-10-01,229.5200042724609,229.6499938964844,223.7400054931641,226.2100067138672,226.2100067138672,63285000,227.81857081821985
2024-10-02,225.88999938964844,227.3699951171875,223.0200042724609,226.77999877929688,226.77999877929688,32880600,227.86285618373327
2024-10-03,225.13999938964844,226.80999755859372,223.32000732421875,225.6699981689453,225.6699981689453,34044200,227.6199994768415
2024-10-04,227.8999938964844,228.0,224.1300048828125,226.8000030517578,226.8000030517578,37245100,227.68142918178015
